risk,confidence,cweid,method,url_length
Medium,Medium,264,GET,79
Low,Medium,829,GET,79
Informational,Medium,-1,GET,82
Low,Medium,829,GET,79
Medium,High,693,GET,77
Informational,Medium,-1,GET,98
Medium,Medium,264,GET,77
Low,Medium,829,GET,77
Low,Medium,829,GET,77
Low,Low,497,GET,82
Low,Low,497,GET,82
Low,Low,497,GET,82
Low,Low,497,GET,98
Low,Low,497,GET,98
Low,Low,497,GET,98
Informational,Medium,-1,GET,79
Low,Low,497,GET,79
Low,Low,497,GET,79
Informational,Medium,-1,GET,77
Low,Low,497,GET,79
Low,Low,497,GET,77
Low,Low,497,GET,77
Low,Low,497,GET,77
Medium,High,693,GET,99
Medium,Medium,264,GET,99
Medium,High,693,GET,99
Medium,Medium,264,GET,99
Low,Medium,829,GET,99
Low,Medium,829,GET,99
Low,Medium,829,GET,99
Medium,High,693,GET,101
Medium,Medium,264,GET,101
Low,Medium,829,GET,99
Low,Medium,829,GET,101
Low,Medium,829,GET,101
Informational,Medium,-1,GET,99
Low,Low,497,GET,99
Low,Low,497,GET,99
Low,Low,497,GET,99
Informational,Medium,-1,GET,99
Informational,Medium,-1,GET,101
Medium,High,693,GET,117
Low,Low,497,GET,99
Low,Low,497,GET,99
Medium,Medium,264,GET,117
Low,Low,497,GET,99
Low,Low,497,GET,101
Low,Low,497,GET,101
Medium,High,693,GET,98
Low,Low,497,GET,101
Medium,Medium,264,GET,98
Low,Medium,829,GET,117
Low,Medium,829,GET,98
Low,Medium,829,GET,117
Low,Medium,829,GET,98
Informational,Medium,-1,GET,98
Low,Low,497,GET,98
Low,Low,497,GET,98
Low,Low,497,GET,98
Medium,High,693,GET,92
Medium,High,693,GET,96
Informational,Medium,-1,GET,117
Medium,Medium,264,GET,92
Medium,Medium,264,GET,96
Low,Medium,829,GET,92
Low,Medium,829,GET,92
Low,Medium,829,GET,96
Low,Low,497,GET,117
Low,Medium,829,GET,96
Low,Low,497,GET,117
Low,Low,497,GET,117
Medium,High,693,GET,92
Medium,Medium,264,GET,92
Low,Medium,829,GET,92
Low,Medium,829,GET,92
Informational,Medium,-1,GET,96
Low,Low,497,GET,96
Low,Low,497,GET,96
Low,Low,497,GET,96
Informational,Medium,-1,GET,92
Low,Low,497,GET,92
Informational,Medium,-1,GET,92
Low,Low,497,GET,92
Low,Low,497,GET,92
Low,Low,497,GET,92
Low,Low,497,GET,92
Low,Low,497,GET,92
Medium,High,693,GET,89
Medium,Medium,264,GET,89
Medium,High,693,GET,94
Low,Medium,829,GET,89
Medium,Medium,264,GET,94
Low,Medium,829,GET,89
Low,Medium,829,GET,94
Low,Medium,829,GET,94
Medium,High,693,GET,91
Informational,Medium,-1,GET,89
Medium,Medium,264,GET,91
Low,Medium,829,GET,91
Low,Medium,829,GET,91
Medium,High,693,GET,110
Low,Low,497,GET,89
Medium,Medium,264,GET,110
Low,Low,497,GET,89
Low,Low,497,GET,89
Low,Medium,829,GET,110
Low,Medium,829,GET,110
Informational,Medium,-1,GET,94
Low,Low,497,GET,94
Low,Low,497,GET,94
Low,Low,497,GET,94
Informational,Medium,-1,GET,91
Low,Low,497,GET,91
Low,Low,497,GET,91
Low,Low,497,GET,91
Informational,Medium,-1,GET,110
Low,Low,497,GET,110
Low,Low,497,GET,110
Low,Low,497,GET,110
Medium,Medium,264,GET,67
Medium,High,693,GET,36
Medium,Medium,264,GET,36
Medium,Medium,264,GET,67
Medium,Medium,264,GET,63
Medium,Medium,264,GET,69
Medium,High,693,GET,26
Medium,Medium,264,GET,26
Informational,Medium,-1,GET,26
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
Informational,Medium,0,GET,28
Informational,Medium,0,GET,35
